400,2.85,0.349
402,2.769,0.4
404,3.028,0.626
406,4.487,0.775
408,5.341,0.705
410,7.442,0.711
412,7.671,0.65
414,7.351,0.663
416,8.008,0.638
418,8.278,0.603
420,8.365,0.533
422,9.175,0.431
424,9.126,0.542
426,9.138,0.538
428,8.853,0.446
430,8.414,0.494
432,9.083,0.65
434,8.489,0.694
436,8.35,0.569
438,7.708,0.591
440,7.769,0.687
442,7.807,0.676
444,7.612,0.607
446,7.471,0.62
448,7.852,0.559
450,8.001,0.538
452,8.266,0.566
454,7.974,0.648
456,7.868,0.577
458,8.171,0.48
460,8.116,0.627
462,7.896,0.556
464,7.994,0.486
466,7.447,0.465
468,7.018,0.498
470,7.347,0.423
472,6.638,0.547
474,6.456,0.57
476,5.64,0.418
478,5.51,0.549
480,5.74,0.537
482,5.408,0.515
484,5.285,0.488
486,5.541,0.541
488,5.09,0.432
490,5.46,0.57
492,5.888,0.471
494,5.569,0.558
496,5.778,0.472
498,5.668,0.468
500,5.168,0.445
502,5.694,0.531
504,5.481,0.555
506,5.464,0.593
508,5.391,0.503
510,5.632,0.539
512,5.51,0.448
514,5.604,0.532
516,5.182,0.575
518,4.714,0.447
520,4.994,0.523
522,5.015,0.589
524,4.78,0.562
526,4.321,0.553
528,4.522,0.651
530,4.056,0.503
532,4.203,0.555
534,4.241,0.537
536,3.689,0.478
538,3.729,0.5
540,3.787,0.513
542,3.526,0.506
544,3.691,0.511
546,3.661,0.583
548,3.841,0.609
550,3.721,0.548
552,3.767,0.529
554,3.384,0.505
556,3.323,0.483
558,3.23,0.4
560,3.055,0.369
562,3.55,0.483
564,3.167,0.506
566,3.341,0.538
568,3.243,0.492
570,3.151,0.412
572,3.272,0.408
574,3.343,0.416
576,3.099,0.451
578,3.219,0.455
580,3.033,0.426
582,3.054,0.482
584,2.803,0.516
586,2.598,0.45
588,2.654,0.361
590,2.364,0.399
592,2.17,0.342
594,2.269,0.549
596,2.444,0.423
598,1.915,0.58
600,1.657,0.38
